timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608485746739,3055,Auth,200,OK,jp@gc - Ultimate Thread Group 1-42,text,true,,21725,900,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,852,0,58
1608485746739,856,Auth-0,302,Found,jp@gc - Ultimate Thread Group 1-42,text,true,,932,263,50,50,http://localhost/mantisbt-2.24.2/login.php,852,0,58
1608485747603,579,Auth-1,302,Found,jp@gc - Ultimate Thread Group 1-42,text,true,,662,333,50,50,http://localhost/mantisbt-2.24.2/login_cookie_test.php?return=my_view_page.php,579,0,0
1608485748183,1611,Auth-2,200,OK,jp@gc - Ultimate Thread Group 1-42,text,true,,20131,304,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,1610,0,0
1608485746784,3173,Auth,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,21725,900,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,1308,0,4
1608485746784,1308,Auth-0,302,Found,jp@gc - Ultimate Thread Group 1-1,text,true,,932,263,50,50,http://localhost/mantisbt-2.24.2/login.php,1308,0,4
1608485748094,659,Auth-1,302,Found,jp@gc - Ultimate Thread Group 1-1,text,true,,662,333,50,50,http://localhost/mantisbt-2.24.2/login_cookie_test.php?return=my_view_page.php,659,0,0
1608485748754,1203,Auth-2,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,20131,304,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,1201,0,0
1608485746793,3208,Auth,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,21725,900,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,820,0,2
1608485746793,820,Auth-0,302,Found,jp@gc - Ultimate Thread Group 1-37,text,true,,932,263,50,50,http://localhost/mantisbt-2.24.2/login.php,820,0,2
1608485747614,1266,Auth-1,302,Found,jp@gc - Ultimate Thread Group 1-37,text,true,,662,333,50,50,http://localhost/mantisbt-2.24.2/login_cookie_test.php?return=my_view_page.php,1266,0,0
1608485748881,1120,Auth-2,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,20131,304,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,1119,0,0
1608485746710,3396,Auth,200,OK,jp@gc - Ultimate Thread Group 1-31,text,true,,21725,900,50,50,http://localhost/mantisbt-2.24.2/my_view_page.php,1479,0,50
